81,Assistant Directeur De CrÃ©ation, Confidentiel ,19/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Un assistant directeur de création a pour mission principale d'accompagner le directeur de création dans la réalisation de projets de création, tels que des campagnes publicitaires, du design de produits, etc. Ce que vous ferez : Recherche et collecte d'informations sur les tendances actuelles et les tendances à venir dans le domaine de la création Participation à la planification et à la stratégie de création de projets Collaboration avec les équipes de création pour garantir l'exécution de projets de qualité Préparation de présentations pour les réunions de création et les clients Gestion des tâches administratives liées à la création de projets, tels que la gestion des délais et du budget Communication avec les différents départements pour s'assurer que les projets se déroulent, selon les attentes. "
82,Juriste ( Safi ) , Confidentiel ,16/06/2023," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié, Dépend du Chef du Service Administratif & Financier Voir organigramme. 
83,Responsable QualitÃ© / SÃ©curitÃ©, Confidentiel ,16/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Mettre en place de la Certification ISO 9001 et 14001, assurer son suivi et sa gestion dans le temps Mettre en place la standard sécurité et s’assurer de leurs suivis Animer l’amélioration continue au sein de tous les services de l’entreprise, notamment en production Assurer des tâches administratives "
84,Chef Du Service SecrÃ©tariat Juridique, Confidentiel ,16/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le Chef du Service Secrétariat Juridique met en œuvre toutes les diligences et démarches nécessaires qui lui permettent d'assurer la conformité des organes sociaux et de gouvernance Il effectue des contrôles de l'exécution des procédures mises en place dans le groupe. Il étudie l'orientation des différentes actions et supervise le Chef de la Section des Actes Sociaux, coordonne avec les autres directions, sous la supervision du Directeur Juridique. "
85,Chef Du Service Gestion Du Contentieux Et Du Patrimoine, Confidentiel ,16/06/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Le Chef du Service Gestion du Contentieux et du Patrimoine met en œuvre la démarche de précontentieux et contentieux (relances, mises en demeure, étude et montage des dossiers, etc.). Il effectue des contrôles de l'exécution des procédures mises en place dans le Groupe. II étudie avec les filiales l'orientation des dossiers litigieux. Il entretient également des relations avec les prestataires, tels que les huissiers, les avocats, ou les mandataires judiciaires et effectue une veille juridique et réglementaire dans son domaine d'activité. En parallèle, il effectue le reporting de son activité. Il assiste à la bonne constitution et analyse des dossiers II supervise les opérations de procédure individuelle et collective II supervise la gestion des relations avec les tribunaux Il réalise des audits ciblés sous les directives du Directeur Juridique auprès des filiales Il propose des garanties appropriées à chaque type de dossier II supervise l'ensemble du processus de gestion du patrimoine immobilier du Groupe et réalise l'ensemble des études relatives au patrimoine immobilier "
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
86,Assistant Reporting Direction Technique, Confidentiel ,09/06/2023," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Gérer l’ensemble des dossiers techniques des investissements, leur suivi administratif et les agendas de tous les projets. Assurer la coordination entre les services de la direction technique et consolider leurs tableaux de bord. Assister le directeur technique dans les travaux de secrétariat. Assurer le suivi comptable et budgétaire. Participer à la conception et à la mise à jour des outils de mesure de la performance d’usine. "
87,Civil Engineer, Confidentiel ,07/06/2023," Dammam, Arabie saoudite ", Arabie saoudite ,non spécifié, Dammam , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Manage, design, develop, create and maintain small-scale through to large-scale construction projects in a safe, timely and sustainable manner Conduct on site investigations and analyze data (maps, reports, tests, drawings and other) Carry out technical and feasibility studies and draw up blueprints that satisfy technical specifications Assess potential risks, materials and costs Provide advice and resolve creatively any emerging problems/deficiencies Oversee and mentor staff and liaise with a variety of stakeholders Handle over the resulting structures and services for use Monitor progress and compile reports in project status Manage budget and purchase equipment/materials Comply with guidelines and regulations including permits, safety etc and deliver technical files and other technical documentation as required "
88,Manager CybersÃ©curitÃ©, Confidentiel ,02/06/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Assurer la réalisation du chiffre d’affaires de la BU Cybersécurité Propose des solutions d'amélioration des performances de l’unité Surveiller les dépenses et contrôler le budget de la BU Gérer le budget du de la BU et prévoir les investissements Fixer les objectifs et contrôler les résultats Assurer la cohésion et Augmenter la productivité dans la BU Assurer la mise en œuvre de la stratégie RH Technologies au niveau de la BU Développer les compétences de chacun pour assurer la rentabilité et la dynamique de l'unité Piloter et mettre en place les actions nécessaires pour développer la BU Définit et contrôle la mise en œuvre de la politique de la BU ainsi que sa rentabilité Assurer la qualité d’exécution des projets et services clients 
89,Business Developper, Confidentiel ,02/06/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Fournir l’expertise métier dans l’élaboration des offres techniques aux clients. Être le support du commercial dans la concrétisation de la vente. Principales activités/Exceptionnelle /Occasionnelle/Fréquente/Courante 
90,Responsable Commercial, Confidentiel ,02/06/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Gérer une équipe commerciale pour développer le portefeuille clients et atteindre les objectifs fixés par la Direction. Négocier avec certains comptes stratégiques. Tenir les objectifs commerciaux tels que les marges et le chiffre d'affaires. Principale activité, Exceptionnelle, Occasionnelle, Fréquente, Courante "
91,IngÃ©nieur Devops , Confidentiel ,02/06/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Mise en place des outils nécessaires pour améliorer l’efficacité entre les équipes de développements et les spécialistes Opérations « Ops » grâce aux méthodes Lean et Agiles. 
92,Tech Lead Intelligence Artificielle ( H/f ) , Confidentiel ,02/06/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Connaissance solide des fondamentaux de l'IA, des algorithmes de machine learning, du deeplearning et de l'apprentissage par renforcement. Python ou R Compétences en communication et leadership Capacité d'apprentissage et d'adaptation TensorFlow, PyTorch, scikit-learn, AWS SageMaker… Travail collaboratif avec GIT Capacité à développer du code réutilisable Management d’équipe « gestion des codes Reviews » Bon niveau de rédaction des supports techniques "
93,Gestionnaire De Centre Commercial/basÃ© Ã Agadir , Confidentiel ,25/05/2023," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Le gestionnaire de centre commercial est chargé de gérer les activités et les services du centre commercial, d’assurer le développement et la promotion des activités commerciales et de veiller à la satisfaction des clients et des locataires. "
