,Poste,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
171,  Commerciaux Terrain,non spécifié,5,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
172,   Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,30,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
173,  COMPTABLE,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
174,  Opérateur Sur Machines Automatiques En Production électrique Ou électronique,non spécifié,50,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
175,  Assistante Dentaire,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
176,   Coursier,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
177,   Chef De Chantier De Batiment Gros-œuvres,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
178,  Technicien En électromécanique Ou En électricité,non spécifié,4,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
179,  Comptable,non spécifié,5,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
180,  Opérateur Sur Machines Automatiques En Production électrique Ou électronique à (BERRECHID-BOUSKOURA-AIN SEBAA-BOUZNIKA).,non spécifié,50,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
181,  Opérateur Sur Machines Automatiques En Production électrique Ou électronique(BERRECHID/BOUSKOURA/AIN SEBAA/BOUZNIKA),non spécifié,50,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
182,  OPERATEUR DE PRODUCTION,non spécifié,80,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
183,  Aide à Domicile,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
184,  Secrétaire De Direction,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
185,  ENSEIGNANTE D ANGLAIS PRIMAIRE,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
186,  1 Assistante Comptable,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
187,  Garde Barrière- Protecteur / Guetteur,non spécifié,50,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
188,  ANIMATEUR SOCIO-ECONOMIQUE,non spécifié,50,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
189,  INFOGRAPHISTE,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
190,  Commerciaux Terrain,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
191,  Infographiste,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
192,  Assistante Commerciale,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
193,  Boulanger,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
194,  Aide Boulanger Et Pâtissier,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
195,  Agent De Caisse,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
196,  Pâtissier,non spécifié,2,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
197,  Manager Coffee Shop,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
198,  Secrétaire De Direction,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
199,  Employé (e) De Maison,non spécifié,1,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
200,  Employé Polyvalent De Restauration,non spécifié,50,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
201,  Infographiste,non spécifié,5,26/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
202,  Infographiste,non spécifié,1,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
203,  Assistante Administrative,non spécifié,2,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
204,  OPERATEUR DE PRODUCTION,non spécifié,50,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
205,  Opérateur Sur Machines Automatiques En Production électrique Ou électronique (BERRECHID/BOUSKOURA/AIN SEBAA/BOUZNIKA),non spécifié,50,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
206,  عاملات و عمال الكابلاج ببرشيد,non spécifié,100,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
207,  SUPERVISEUR DE SÉCURITÉ .,non spécifié,1,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
208,  TECHNICIEN DE BIOLOGIE SPECIALISEE,non spécifié,1,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
209,  DESSINATRICES,non spécifié,3,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
210,  Webmaster,non spécifié,1,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
211,  Opérateurs Et Opératrices De Câblage Automobile,non spécifié,150,23/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
212,   Econome Gestionnaire (restauration Collective),non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
213,   Serveur,non spécifié,3,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
214,  Mécanicien Industriel,non spécifié,2,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
215,   Enseignant Des écoles,non spécifié,30,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
216,  Chargé De Recouvrement,non spécifié,5,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
217,  Opératrice/Opérateur Au Câblage électrique Automobile,non spécifié,150,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
218,  Opérateur De Production,non spécifié,10,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
219,  Concepteur CAO,non spécifié,150,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
220,   Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,60,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
221,  INFOGRAPHISTE,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
222,  électricien De Maintenance Permis B,non spécifié,2,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
223,  Opérateurs Et Opératrices (H/F),non spécifié,25,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
224,  Téléconseiller,non spécifié,4,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
225,  Caissier,non spécifié,3,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
226,  OPERATRICE SUR MACHINE A COUDRE عاملات على آلات الخياطة,non spécifié,30,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
227,  OPERATEUR DE PRODUCTION,non spécifié,150,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
228,  Commercial/Commerciale,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
229,  Chargé Des Achats,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
230,  Développeur,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
231,  Chargé Du Marketing,non spécifié,4,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
232,  Assistante Administrative,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
233,  Chargé Des Ressources Humaines Et Affaires Juridiques,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
234,  Employé Polyvalent De Restauration,non spécifié,5,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
235,  Employé Polyvalent De Restauration,non spécifié,4,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
236,  FORMATEURS En (robotique Et Calcul Mental),non spécifié,3,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
237,  Opérateur Sur Machine Mécanisée1 De Câblage,non spécifié,50,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
238,  Opérateur De Câblage Automobile,non spécifié,50,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
239,   Commercial/Commerciale,non spécifié,1,22/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
240,  ELECTROMECANICIEN DES SYSTEMES AUTOMATISES,non spécifié,5,21/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
241,"  Missions Du Poste : · Garant De La Sécurité Morale, Physique Et Affective Des Enfants. · Responsable Du Groupe D'enfants, Il Est Le Meneur De Projets D'animation Ou De Démarches Pédagogiques Réponda",non spécifié,2,21/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
242,  Technicien Electromécanicien,non spécifié,1,21/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
