,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
597,Régleur de machines de transformation (matières plastiques et caoutchouc), Industrie du caoutchouc et des plastiques ,2,01/02/2024,12/02/2024, MEDIOUNA,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
598,Animateur de loisirs, Autres ,3,01/02/2024,non spécifié, CASA-AL FIDA DERB SULTAN ,CI,"surveiller , animer un espace pour enfants","Bac + 3, bachelor",non spécifié,"Francais : Bon, Arabe : Bon",non spécifié
599,Serveur, Hôtellerie et restauration ,2,31/01/2024,01/02/2024, KENITRA ,CDD,serveuse maitrise la langue espagnole,"Technicien ,Service de restauration ",non spécifié,"Espagnol : Courant, Francais : Bon, Arabe : Bon",non spécifié
600,Opérateur de fabrication en alimentation animale," Pêche, aquaculture ",35,31/01/2024,26/02/2024, EL JADIDA ,CDD,non spécifié,Sans diplôme,(6 mois - 1 an),Arabe : Bon,non spécifié
601,Pharmacien, Santé et action sociale ,1,31/01/2024,non spécifié, CASA-NOUACER,CDD,"ayant déjà eu une première expérience au sein d'une officine d'au moins 1 année résidant dans la région de Dar Bouazza à proximité de la Pharmacie Jalila étant motorisé disponible et engagé exclusivement avec la Pharmacie Jalila pour des shifts d'après-midi et soirs (du lundi au vendredi) et week-end (samedi après-midi et soir ainsi que tout le dimanche de l'ouverture à la fermeture, jours fériés selon un planning pré établi).",non spécifié,non spécifié,non spécifié,non spécifié
602,Commercial/Commerciale, Services fournis principalement aux entreprises ,1,31/01/2024,non spécifié, INEZGANE AIT MELLOUL ,CI,non spécifié,Bac + 2,non spécifié,"Francais : Courant, Anglais : Bon",non spécifié
603,Chef de cuisine, Hôtellerie et restauration ,1,31/01/2024,non spécifié, RABAT AGDAL,CDI,Chef De Cuisine,Technicien,(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Bon",non spécifié
604,Technicien d'installation de matériel électrique ou électronique, Fabrication de machines et équipements ,10,30/01/2024,non spécifié, CASABLANCA-ANFA,CDD,Electricité- Electro Technique Câblage-Tirage de câbles,Technicien,non spécifié,non spécifié,non spécifié
605,Enseignant des écoles, Education ,3,30/01/2024,12/02/2024, KENITRA UNIVERSITAIRE,CDD,non spécifié,Bac + 2,non spécifié,non spécifié,non spécifié
606,Secrétaire de direction, Services fournis principalement aux entreprises ,1,30/01/2024,31/01/2024, ERRACHIDIA ,CI,non spécifié,Bac + 2,(moins de 6 mois),Francais : Bon,"Acceuil , Mairise de l'Outils informatiques , Communication"
607,Operateur en maintenance industrielle, Services fournis principalement aux entreprises ,10,30/01/2024,non spécifié, BEN SLIMANE ,CDD,non spécifié,"Technicien ,Electricité de maintenance industrielle ",non spécifié,"Francais : Moyen, Arabe : Langue maternelle",non spécifié
608,Couturier moderne, Services fournis principalement aux entreprises ,15,30/01/2024,non spécifié, BEN SLIMANE ,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
609,Employé de libre service, Services fournis principalement aux entreprises ,10,30/01/2024,non spécifié, BEN SLIMANE ,CDD,non spécifié,Sans diplôme,non spécifié,non spécifié,non spécifié
610,Secrétaire bureautique polyvalent, Services fournis principalement aux entreprises ,1,30/01/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
611,Enseignant des écoles, Education ,1,30/01/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,Enseignante d'Anglais,Bac + 2,non spécifié,"Anglais : Courant, Arabe : Langue maternelle, Francais : Moyen",non spécifié
612,Ingénieur d'études techniques du bâtiment et des travaux publics, Autres ,2,30/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Ingénieur ,Génie civil ",non spécifié,Francais : Bon,non spécifié
613,Employé de gestion administrative, Fabrication de machines et appareils électriques ,1,30/01/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,"Technicien ,Techniques d'administration (OFPPT ) ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Bon",non spécifié
614,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,10,30/01/2024,05/02/2024, KENITRA ,CI,non spécifié,"Technicien ,Fabrication mécanique ",non spécifié,Francais : Moyen,non spécifié
615,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,20,30/01/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",non spécifié,Francais : Moyen,non spécifié
616,Technicien de laboratoire d'analyses médicales, Santé et action sociale ,2,30/01/2024,non spécifié, TANGER-ASSILAH,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Lst: biologie ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
617,Infirmier de service spécialisé, Santé et action sociale ,3,30/01/2024,non spécifié, TANGER-ASSILAH,CDI,non spécifié,"Technicien ,Infirmier polyvalent ",(moins de 6 mois),"Francais : Moyen, Arabe : Langue maternelle",non spécifié
618,Téléconseiller, Postes et télécommunications ,20,30/01/2024,non spécifié, TANGER-ASSILAH,CDI,non spécifié,non spécifié,(moins de 6 mois),Espagnol : Courant,non spécifié
619,Vendeur en équipement de la personne, Commerce de gros et intermédiaires du commerce ,1,30/01/2024,non spécifié, MEKNES-EL MENZEH,CDD,-Accueillir et conseiller les clients. -Encaisser les paiements.,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",(6 mois - 1 an),Francais : Moyen,non spécifié
620,Employé de service hospitalier, Santé et action sociale ,30,30/01/2024,non spécifié, TETOUAN ,CDD,DES GENS SERIEUX ET CAPABLES.,non spécifié,(6 mois - 1 an),non spécifié,non spécifié
621,Agent d'encadrement de la construction mécanique et du travail des métaux, Métallurgie ,2,30/01/2024,07/02/2024, MEDIOUNA,CI,non spécifié,"Technicien ,Productique ",(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
622,Commercial/Commerciale, Commerce de gros et intermédiaires du commerce ,1,29/01/2024,non spécifié, MEKNES-EL MENZEH,CDD,non spécifié,"Technicien spécialisé ,Commerce international ",(6 mois - 1 an),Francais : Bon,non spécifié
623,Chef de caisse, Commerce de gros et intermédiaires du commerce ,10,29/01/2024,30/01/2024, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,Bac + 2,non spécifié,"Francais : Courant, Arabe : Courant",non spécifié
624,Caissier, Commerce de gros et intermédiaires du commerce ,28,29/01/2024,30/01/2024, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,Baccalauréat,non spécifié,"Francais : Courant, Arabe : Courant",non spécifié
625,Dessinateur en électricité ou électronique, Commerce de gros et intermédiaires du commerce ,1,29/01/2024,non spécifié, MEKNES-EL MENZEH,CDD,"Etablir les dessins et schémas sur PC. Maitrise de la CAO,AUTOCAD,CATIA. ","Technicien spécialisé ,Fabrication mécanique ",(6 mois - 1 an),Francais : Bon,non spécifié
626,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,200,29/01/2024,non spécifié, BERRECHID,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,Arabe : Bon,non spécifié
627,Opérateur de saisie, Commerce de gros et intermédiaires du commerce ,1,29/01/2024,non spécifié, MEKNES-EL MENZEH,CI,sexe féminin. handicap moteur.,"Technicien ,Secrétariat de direction ",(6 mois - 1 an),Francais : Moyen,non spécifié
628,Enseignant des écoles, Education ,2,29/01/2024,31/01/2024, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,Bac + 2,(1 an - 2 ans),Francais : Courant,non spécifié
629,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,20,29/01/2024,non spécifié, KENITRA ,CDD,salaire SMIG,Baccalauréat,(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
630,Aide soignant, Santé et action sociale ,1,29/01/2024,non spécifié, KENITRA ,CI,non spécifié,"Technicien spécialisé ,Infirmier polyvalent ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
631,Infirmier polyvalent , Santé et action sociale ,1,29/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien ,Infirmier polyvalent ",non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
632,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,29/01/2024,08/01/2024, BERRECHID,CI,non spécifié,Baccalauréat,non spécifié,non spécifié,non spécifié
633,Employé de libre service, Commerce de gros et intermédiaires du commerce ,72,28/01/2024,29/01/2024, CASA-AIN CHOCK HAY HASSANI ,CI, Mettre en rayon les produits. Réaliser et contrôler le balisage et l'étiquetage des produits en rayon. Gérer l'état des stocks et les besoins d'approvisionnement. Préparer les commandes.,Baccalauréat,(moins de 6 mois),"Francais : Courant, Arabe : Bon",non spécifié
634,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,30,27/01/2024,01/02/2024, KENITRA ,CI,non spécifié,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",non spécifié,Francais : Moyen,non spécifié
635,Responsable restauration/gérant, Hôtellerie et restauration ,1,27/01/2024,non spécifié, RABAT AGDAL,CDI, Responsable Restauration/gérant,Technicien spécialisé,(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Courant, Anglais : Moyen",non spécifié
636,Cuisinier, Hôtellerie et restauration ,2,27/01/2024,non spécifié, RABAT AGDAL,CDI,PIZZAÏOLO ,Technicien,(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
637,Employé de ménage, Hôtellerie et restauration ,2,27/01/2024,non spécifié, RABAT AGDAL,CI,Femme De Ménage,Diplôme de qualification professionnelle,(moins de 6 mois),"Arabe : Courant, Francais : Notions",non spécifié
638,Serveur, Hôtellerie et restauration ,4,27/01/2024,non spécifié, RABAT AGDAL,CI,Serveur,"Diplôme de qualification professionnelle ,Agent de restauration ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
639,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,50,26/01/2024,non spécifié, TANGER-ASSILAH,CDD,non spécifié,Sans diplôme,non spécifié,non spécifié,non spécifié
640,Chef d'équipe des travaux publics," Assainissement, voirie et gestion des déchets ",1,26/01/2024,non spécifié, RABAT HASSAN,CDD,"- Concevoir les plans suite au cahier des charges définies et définir les priorités des interventions en fonction de différents critères : demandes clients, temps de disponibilité du matériel, solutions de remplacement. - Développer et suivre les indicateurs de la performance des chantiers ; établissement des plannings d’exécution des travaux et des approvisionnements ; plans de charge et phasage des interventions. - Assurer la préparation, le suivi technique et manager les équipes interne et garantir la sécurité sur les chantiers ainsi que d'ajuster les ressources de façon à respecter les délais et le coût de réalisation des travaux. - - Diriger le projet sur la phase de préparation, y compris la définition de l'équipe du site, la documentation, revue et validation, approvisionnement de tous les équipements. ",non spécifié,non spécifié,non spécifié,non spécifié
641,Conseiller en assurances, Assurance ,2,26/01/2024,non spécifié, RABAT HASSAN,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",(6 mois - 1 an),"Francais : Bon, Arabe : Langue maternelle",non spécifié
642,Chef d'équipe des travaux publics, Construction ,1,26/01/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDD,"• Participe à la préparation des travaux : il analyse les plans d’architecte, évalue les besoins humains et recrute les équipes. Il choisit aussi les outils appropriés, les matériaux et sélectionne les sous-traitants. • Suivi et respect des plannings • Gestion de l’équipe sur les chantiers • Contrôle le montage des installations • Veille au respect des règles de sécurité.",non spécifié,non spécifié,non spécifié,non spécifié
643,Ingénieur d'études techniques du bâtiment et des travaux publics, Construction ,10,26/01/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDD,"• Prépare, vérifie la base de conception et les méthodologies de fonctionnement des différents process. • Responsable des diagrammes de flux de processus (PFD), des diagrammes de tuyauterie et d'instruments (P&ID), du bilan thermique et des matériaux et des fiches techniques des équipements de processus. • Responsable de la détermination des conditions de conception des process • Met en œuvre des solutions innovantes, des avancées technologiques et des méthodes dans la prise en main des process ",non spécifié,non spécifié,non spécifié,non spécifié
644,Secrétaire de direction, Autres ,2,26/01/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Brevet de technicien supérieur (B.T.S) ,Assistant en gestion administrative et comptable ",non spécifié,"Anglais : , Francais : Bon",non spécifié
645,Commercial/Commerciale, Postes et télécommunications ,10,26/01/2024,non spécifié, CASABLANCA-ANFA,CDD,"VENTE DE CONTRAT ABONNEMENT FIBRE OPTIQUE DEMARCHE PORTE A PORTE, ANIMATION DE STAND DE VENTE.",Technicien spécialisé,(6 mois - 1 an),non spécifié,non spécifié
646,Technicien Réseau et télécoms, Postes et télécommunications ,6,26/01/2024,non spécifié, CASABLANCA-ANFA,Choix Multiple,TECHNICIEN FIBRE OPTIQUE,non spécifié,(1 an - 2 ans),Francais : Courant,non spécifié
647,Vendeur/Vendeuse, Santé et action sociale ,3,26/01/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,formation en domaine optique souhaitable vente et commerce achat demande de prix au fournisseur facturation et suivie des clients,non spécifié,non spécifié,non spécifié,non spécifié
648,Barman, Hôtellerie et restauration ,2,26/01/2024,non spécifié, RABAT AGDAL,CI,BARISTA,"Technicien ,Service de restauration ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Bon",non spécifié
649,Secrétaire bureautique polyvalent, Santé et action sociale ,1,26/01/2024,non spécifié, SKHIRATE TEMARA ,CI,non spécifié,"Technicien spécialisé ,Infirmier auxiliaire ",(6 mois - 1 an),Francais : Bon,non spécifié
650,Responsable achats et sourcing , Industrie chimique ,1,25/01/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Technicien spécialisé ,Electromécanique des systèmes automatisés ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
651,Infirmier polyvalent , Santé et action sociale ,1,25/01/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CI,non spécifié,Technicien spécialisé,(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
652,Comptable, Commerce de détail et réparation d'articles domestiques ,1,25/01/2024,31/01/2024, MEDIOUNA,CDD,COMPTABLE CONFIRME,"Bac + 3, bachelor ,Comptabilité-contrôle-audit ",(3 ans - 5 ans),"Anglais : Bon, Francais : Bon, Arabe : Bon",non spécifié
653,Agent d'encadrement des autres industries de process, Commerce de détail et réparation d'articles domestiques ,30,25/01/2024,21/02/2024, MEDIOUNA,CI,non spécifié,"Diplôme de qualification professionnelle ,Certificat d'études primaires ou Certificat équivalent (cycle intermédiaire) ",(2 ans - 3 ans),Arabe : Bon,non spécifié
